Name,RA,DEC,L,B,R_sun,R_gc,X,Y,Z
NGC_5946.txt,15 35 28.52,-50 39 34.8,327.58,4.19,10.6,5.8,8.9,-5.6,0.8
BH_176.txt,15 39 07.45,-50 03 09.8,328.41,4.34,18.9,12.9,16.1,-9.9,1.4
NGC_5986.txt,15 46 03.00,-37 47 11.1,337.02,13.27,10.4,4.8,9.3,-4.0,2.4
Lynga_7_BH184.txt,16 11 03.65,-55 19 04.0,328.77,-2.80,8.0,4.3,6.8,-4.1,-0.4
Pal_14.txt,16 11 00.6,+14 57 28,28.74,42.19,76.5,71.6,49.7,27.3,51.4
NGC_6093_M_80.txt,16 17 02.41,-22 58 33.9,352.67,19.46,10.0,3.8,9.4,-1.2,3.3
NGC_6121_M_4.txt,16 23 35.22,-26 31 32.7,350.97,15.97,2.2,5.9,2.1,-0.3,0.6
NGC_6101.txt,16 25 48.12,-72 12 07.9,317.74,-15.82,15.4,11.2,11.0,-10.0,-4.2
NGC_6144.txt,16 27 13.86,-26 01 24.6,351.93,15.70,8.9,2.7,8.5,-1.2,2.4
NGC_6139.txt,16 27 40.37,-38 50 55.5,342.37,6.94,10.1,3.6,9.6,-3.0,1.2
Terzan_3.txt,16 28 40.08,-35 21 12.5,345.08,9.19,8.2,2.5,7.8,-2.1,1.3
NGC_6171_M107.txt,16 32 31.86,-13 03 13.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5
ESO452-11.txt,16 39 25.45,-28 23 55.3,351.91,12.10,8.3,2.1,8.0,-1.1,1.7
NGC_6205_M_13.txt,16 41 41.24,+36 27 35.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7
NGC_6229.txt,16 46 58.79,+47 31 39.9,73.64,40.31,30.5,29.8,6.5,22.3,19.7
NGC_6218_M_12.txt,16 47 14.18,-01 56 54.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1
FSR_1735.txt,16 52 10.6,-47 03 29,339.19,-1.85,9.8,3.7,9.1,-3.5,-0.3
NGC_6235.txt,16 53 25.31,-22 10 38.8,358.92,13.52,11.5,4.2,11.2,-0.2,2.7
NGC_6254_M_10.txt,16 57 09.05,-04 06 01.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7
NGC_6256.txt,16 59 32.62,-37 07 17.0,347.79,3.31,10.3,3.0,10.0,-2.2,0.6
Pal_15.txt,16 59 51.0,-00 32 20,18.88,24.30,45.1,38.4,38.9,13.3,18.6
NGC_6266_M_62.txt,17 01 12.80,-30 06 49.4,353.57,7.32,6.8,1.7,6.7,-0.8,0.9
NGC_6273_M_19.txt,17 02 37.80,-26 16 04.7,356.87,9.38,8.8,1.7,8.7,-0.5,1.4
NGC_6284.txt,17 04 28.51,-24 45 53.5,358.35,9.94,15.3,7.5,15.0,-0.4,2.6
NGC_6287.txt,17 05 09.13,-22 42 30.1,0.13,11.02,9.4,2.1,9.2,0.0,1.8
NGC_6293.txt,17 10 10.20,-26 34 55.5,357.62,7.83,9.5,1.9,9.4,-0.4,1.3
NGC_6304.txt,17 14 32.25,-29 27 43.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6
NGC_6316.txt,17 16 37.30,-28 08 24.4,357.18,5.76,10.4,2.6,10.4,-0.5,1.0
NGC_6341_M_92.txt,17 17 07.39,+43 08 09.4,68.34,34.86,8.3,9.6,2.5,6.3,4.7
NGC_6325.txt,17 17 59.21,-23 45 57.6,0.97,8.00,7.8,1.1,7.7,0.1,1.1
NGC_6333_M_9.txt,17 19 11.26,-18 30 57.4,5.54,10.71,7.9,1.7,7.7,0.7,1.5
NGC_6342.txt,17 21 10.08,-19 35 14.7,4.90,9.72,8.5,1.7,8.4,0.7,1.4
NGC_6356.txt,17 23 34.93,-17 48 46.9,6.72,10.22,15.1,7.5,14.7,1.7,2.7
NGC_6355.txt,17 23 58.59,-26 21 12.3,359.59,5.43,9.2,1.4,9.2,-0.1,0.9
NGC_6352.txt,17 25 29.11,-48 25 19.8,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7
IC_1257.txt,17 27 08.5,-07 05 35,16.54,15.15,25.0,17.9,23.2,6.9,6.5
Terzan_2_HP_3.txt,17 27 33.10,-30 48 08.4,356.32,2.30,7.5,0.8,7.5,-0.5,0.3
NGC_6366.txt,17 27 44.24,-05 04 47.5,18.41,16.04,3.5,5.0,3.2,1.1,1.0
Terzan_4_HP_4.txt,17 30 39.00,-31 35 43.9,356.02,1.31,7.2,1.0,7.2,-0.5,0.2
HP_1_BH_229.txt,17 31 05.2,-29 58 54,357.44,2.12,8.2,0.5,8.2,-0.4,0.3
NGC_6362.txt,17 31 54.99,-67 02 54.0,325.55,-17.57,7.6,5.1,6.0,-4.1,-2.3
Liller_1.txt,17 33 24.50,-33 23 20.4,354.84,-0.16,8.2,0.8,8.2,-0.7,0.0
NGC_6380_Ton1.txt,17 34 28.0,-39 04 09,350.18,-3.42,10.9,3.3,10.7,-1.9,-0.6
Terzan_1_HP_2.txt,17 35 47.8,-30 28 11,357.57,1.00,6.7,1.3,6.7,-0.3,0.1
Ton2_Pismis26.txt,17 36 10.5,-38 33 12,350.80,-3.42,8.2,1.4,8.1,-1.3,-0.5
NGC_6388.txt,17 36 17.23,-44 44 07.8,345.56,-6.74,9.9,3.1,9.6,-2.5,-1.2
NGC_6402_M_14.txt,17 37 36.10,-03 14 45.3,21.32,14.81,9.3,4.0,8.3,3.3,2.4
NGC_6401.txt,17 38 36.60,-23 54 34.2,3.45,3.98,10.6,2.7,10.5,0.6,0.7
NGC_6397.txt,17 40 42.09,-53 40 27.6,338.17,-11.96,2.3,6.0,2.1,-0.8,-0.5
Pal_6.txt,17 43 42.2,-26 13 21,2.10,1.78,5.8,2.2,5.8,0.2,0.2
NGC_6426.txt,17 44 54.65,+03 10 12.5,28.09,16.23,20.6,14.4,17.4,9.3,5.8
Djorg_1.txt,17 47 28.3,-33 03 56,356.69,-2.47,13.7,5.7,13.6,-0.8,-0.6
Terzan_5_11.txt,17 48 04.80,-24 46 45,3.84,1.69,6.9,1.2,6.9,0.5,0.2
NGC_6440.txt,17 48 52.70,-20 21 36.9,7.73,3.80,8.5,1.3,8.4,1.1,0.6
NGC_6441.txt,17 50 13.06,-37 03 05.2,353.53,-5.01,11.6,3.9,11.5,-1.3,-1.0
Terzan_6_HP_5.txt,17 50 46.38,-31 16 31.4,358.57,-2.16,6.8,1.3,6.8,-0.2,-0.3
NGC_6453.txt,17 50 51.70,-34 35 57.0,355.72,-3.87,11.6,3.7,11.5,-0.9,-0.8
UKS_1.txt,17 54 27.2,-24 08 43,5.13,0.76,7.8,0.7,7.8,0.7,0.1
NGC_6496.txt,17 59 03.68,-44 15 57.4,348.03,-10.01,11.3,4.2,10.9,-2.3,-2.0
Terzan_9.txt,18 01 38.8,-26 50 23,3.61,-1.99,7.1,1.1,7.1,0.4,-0.2
Djorg_2_ESO456-.txt,18 01 49.1,-27 49 33,2.77,-2.50,6.3,1.8,6.2,0.3,-0.3
NGC_6517.txt,18 01 50.52,-08 57 31.6,19.23,6.76,10.6,4.2,10.0,3.5,1.3
Terzan_10.txt,18 03 36.4,-26 04 21,4.49,-1.99,5.8,2.3,5.8,0.5,-0.2
NGC_6522.txt,18 03 34.02,-30 02 02.3,1.02,-3.93,7.7,0.6,7.7,0.1,-0.5
NGC_6535.txt,18 03 50.51,-00 17 51.5,27.18,10.44,6.8,3.9,6.0,3.1,1.2
NGC_6528.txt,18 04 49.64,-30 03 22.6,1.14,-4.17,7.9,0.6,7.9,0.2,-0.6
NGC_6539.txt,18 04 49.68,-07 35 09.1,20.80,6.78,7.8,3.0,7.2,2.8,0.9
NGC_6540_Djorg.txt,18 06 08.6,-27 45 55,3.29,-3.31,5.3,2.8,5.2,0.3,-0.3
NGC_6544.txt,18 07 20.58,-24 59 50.4,5.84,-2.20,3.0,5.1,2.9,0.3,-0.1
NGC_6541.txt,18 08 02.36,-43 42 53.6,349.29,-11.19,7.5,2.1,7.3,-1.4,-1.5
ESO280-06.txt,18 09 06.0,-46 25 23,346.90,-12.57,21.4,14.0,20.4,-4.7,-4.7
NGC_6553.txt,18 09 17.60,-25 54 31.3,5.26,-3.03,6.0,2.2,5.9,0.5,-0.3
NGC_6558.txt,18 10 17.60,-31 45 50.0,0.20,-6.02,7.4,1.0,7.3,0.0,-0.8
IC_1276_Pal_7.txt,18 10 44.20,-07 12 27.4,21.83,5.67,5.4,3.7,5.0,2.0,0.5
Terzan_12.txt,18 12 15.8,-22 44 31,8.37,-2.10,4.8,3.4,4.7,0.7,-0.2
NGC_6569.txt,18 13 38.80,-31 49 36.8,0.48,-6.68,10.9,3.1,10.8,0.1,-1.3
BH_261_AL_3.txt,18 14 06.6,-28 38 06,3.36,-5.27,6.5,1.7,6.5,0.4,-0.6
NGC_6584.txt,18 18 37.60,-52 12 56.8,342.14,-16.41,13.5,7.0,12.3,-4.0,-3.8
NGC_6624.txt,18 23 40.51,-30 21 39.7,2.79,-7.91,7.9,1.2,7.8,0.4,-1.1
NGC_6626_M_28.txt,18 24 32.81,-24 52 11.2,7.80,-5.58,5.5,2.7,5.4,0.7,-0.5
NGC_6638.txt,18 30 56.10,-25 29 50.9,7.90,-7.15,9.4,2.2,9.3,1.3,-1.2
NGC_6637_M_69.txt,18 31 23.10,-32 20 53.1,1.72,-10.27,8.8,1.7,8.6,0.3,-1.6
NGC_6642.txt,18 31 54.10,-23 28 30.7,9.81,-6.44,8.1,1.7,8.0,1.4,-0.9
NGC_6652.txt,18 35 45.63,-32 59 26.6,1.53,-11.38,10.0,2.7,9.8,0.3,-2.0
NGC_6656_M_22.txt,18 36 23.94,-23 54 17.1,9.89,-7.55,3.2,4.9,3.2,0.6,-0.4
Pal_8.txt,18 41 29.9,-19 49 33,14.11,-6.79,12.8,5.5,12.3,3.1,-1.5
NGC_6681_M_70.txt,18 43 12.76,-32 17 31.6,2.85,-12.51,9.0,2.2,8.8,0.4,-2.0
NGC_6712.txt,18 53 04.30,-08 42 22.0,25.35,-4.32,6.9,3.5,6.3,3.0,-0.5
NGC_6715_M_54.txt,18 55 03.33,-30 28 47.5,5.61,-14.09,26.5,18.9,25.6,2.5,-6.5
NGC_6717_Pal9.txt,18 55 06.04,-22 42 05.3,12.88,-10.90,7.1,2.4,6.8,1.6,-1.3
NGC_6723.txt,18 59 33.15,-36 37 56.1,0.07,-17.30,8.7,2.6,8.3,0.0,-2.6
NGC_6749.txt,19 05 15.3,+01 54 03,36.20,-2.21,7.9,5.0,6.4,4.7,-0.3
NGC_6752.txt,19 10 52.11,-59 59 04.4,336.49,-25.63,4.0,5.2,3.3,-1.4,-1.7
NGC_6760.txt,19 11 12.01,+01 01 49.7,36.11,-3.92,7.4,4.8,5.9,4.3,-0.5
NGC_6779_M_56.txt,19 16 35.57,+30 11 00.5,62.66,8.34,9.4,9.2,4.3,8.3,1.4
Terzan_7.txt,19 17 43.92,-34 39 27.8,3.39,-20.07,22.8,15.6,21.4,1.3,-7.8
Pal_10.txt,19 18 02.1,+18 34 18,52.43,2.72,5.9,6.4,3.6,4.7,0.3
Arp_2.txt,19 28 44.11,-30 21 20.3,8.55,-20.79,28.6,21.4,26.4,4.0,-10.2
NGC_6809_M_55.txt,19 39 59.71,-30 57 53.1,8.79,-23.27,5.4,3.9,4.9,0.8,-2.1
Terzan_8.txt,19 41 44.41,-33 59 58.1,5.76,-24.56,26.3,19.4,23.8,2.4,-10.9
Pal_11.txt,19 45 14.4,-08 00 26,31.81,-15.57,13.4,8.2,11.0,6.8,-3.6
NGC_6838_M_71.txt,19 53 46.49,+18 46 45.1,56.75,-4.56,4.0,6.7,2.2,3.4,-0.3
NGC_6864_M_75.txt,20 06 04.69,-21 55 16.2,20.30,-25.75,20.9,14.7,17.6,6.5,-9.1
NGC_6934.txt,20 34 11.37,+07 24 16.1,52.10,-18.89,15.6,12.8,9.1,11.7,-5.1
NGC_6981_M_72.txt,20 53 27.70,-12 32 14.3,35.16,-32.68,17.0,12.9,11.7,8.3,-9.2
NGC_7006.txt,21 01 29.38,+16 11 14.4,63.77,-19.41,41.2,38.5,17.2,34.8,-13.7
NGC_7078_M_15.txt,21 29 58.33,+12 10 01.2,65.01,-27.31,10.4,10.4,3.9,8.3,-4.8
NGC_7089_M_2.txt,21 33 27.02,-00 49 23.7,53.37,-35.77,11.5,10.4,5.6,7.5,-6.7
NGC_7099_M_30.txt,21 40 22.12,-23 10 47.5,27.18,-46.84,8.1,7.1,4.9,2.5,-5.9
Pal_12.txt,21 46 38.84,-21 15 09.4,30.51,-47.68,19.0,15.8,11.0,6.5,-14.1
Pal_13.txt,23 06 44.44,+12 46 19.2,87.10,-42.70,26.0,26.9,1.0,19.1,-17.6
NGC_7492.txt,23 08 26.63,-15 36 41.4,53.39,-63.48,26.3,25.3,7.0,9.4,-23.5
